,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
179,MKTX.OQ,2018-12-31T00:00:00Z,-2.94860607049459,7943692094.69,211.31
180,MKTX.OQ,2019-01-31T00:00:00Z,1.63740476262257,8073762487.23,214.77
181,MKTX.OQ,2019-02-28T00:00:00Z,11.9705859773481,9164759203.6,243.88
182,MKTX.OQ,2019-03-29T00:00:00Z,0.902082990922826,9269639442.88,246.08
183,MKTX.OQ,2019-04-30T00:00:00Z,13.105494146243,10492341000.05,278.33
184,MKTX.OQ,2019-05-31T00:00:00Z,7.19746697283599,11227064982.6999,297.82
185,MKTX.OQ,2019-06-28T00:00:00Z,13.191998874892,12116725628.7,321.42
186,MKTX.OQ,2019-07-31T00:00:00Z,4.8596851475726,12725507382.72,337.04
187,MKTX.OQ,2019-08-30T00:00:00Z,18.1486051530529,15012806330.16,397.62
188,MKTX.OQ,2019-09-30T00:00:00Z,-17.6349278210434,12365308770.0,327.5
189,MKTX.OQ,2019-10-31T00:00:00Z,12.5465648830085,13924253180.0199,368.59
190,MKTX.OQ,2019-11-29T00:00:00Z,12.6045264901704,15255139637.96,403.82
191,MKTX.OQ,2019-12-31T00:00:00Z,-6.11906294804718,14321668040.58,379.11
192,MKTX.OQ,2020-01-31T00:00:00Z,-6.57592782997335,13379885486.04,354.18
193,MKTX.OQ,2020-02-28T00:00:00Z,-7.70976748665113,12244586492.73,324.33
194,MKTX.OQ,2020-03-31T00:00:00Z,2.54062220723248,12555675176.17,332.57
195,MKTX.OQ,2020-04-30T00:00:00Z,29.5144028222769,17249526472.14,455.01
196,MKTX.OQ,2020-05-29T00:00:00Z,11.9103077821993,19280755738.26,508.59
197,MKTX.OQ,2020-06-30T00:00:00Z,-1.50809099611349,18989984396.88,500.92
198,MKTX.OQ,2020-07-31T00:00:00Z,3.15020362623353,19619995474.5,516.7
199,MKTX.OQ,2020-08-31T00:00:00Z,-5.84223168234805,18451984905.9,485.94
200,MKTX.OQ,2020-09-30T00:00:00Z,-0.573941408036838,18286807858.6499,481.59
201,MKTX.OQ,2020-10-30T00:00:00Z,11.8897817622843,20456622275.7,538.85
202,MKTX.OQ,2020-11-30T00:00:00Z,0.173493317157325,20469150224.76,539.18
203,MKTX.OQ,2020-12-31T00:00:00Z,5.81994881113703,21660444289.92,570.56
204,MKTX.OQ,2021-01-29T00:00:00Z,-5.22293886688413,20529132526.32,540.76
205,MKTX.OQ,2021-02-26T00:00:00Z,3.73643581891068,21123427859.38,555.94
206,MKTX.OQ,2021-03-31T00:00:00Z,-10.4363780287952,18918907075.84,497.92
207,MKTX.OQ,2021-04-30T00:00:00Z,-1.47049924215769,18553026711.2399,488.46
208,MKTX.OQ,2021-05-28T00:00:00Z,-4.34687548127003,17720446058.76,466.54
209,MKTX.OQ,2021-06-30T00:00:00Z,-0.632314485626284,17608397111.46,463.59
210,MKTX.OQ,2021-07-30T00:00:00Z,2.49789684630082,18056636763.24,475.17
211,MKTX.OQ,2021-08-31T00:00:00Z,0.295572492693585,18085137042.24,475.92
212,MKTX.OQ,2021-09-30T00:00:00Z,-11.9010722081251,15986376496.68,420.69
213,MKTX.OQ,2021-10-29T00:00:00Z,-2.8572107729954,15540282807.61,408.67
214,MKTX.OQ,2021-11-30T00:00:00Z,-13.5581825927197,13411560289.27,352.69
215,MKTX.OQ,2021-12-31T00:00:00Z,16.6094870833012,15639151663.41,411.27
216,MKTX.OQ,2022-01-31T00:00:00Z,-16.2399396986358,13099362863.84,344.48
217,MKTX.OQ,2022-02-28T00:00:00Z,13.9707640086236,14431562724.88,381.43
218,MKTX.OQ,2022-03-31T00:00:00Z,-10.8093228106875,12871608523.1999,340.2
219,MKTX.OQ,2022-04-29T00:00:00Z,-24.0119915837893,9949167565.56,263.61
220,MKTX.OQ,2022-05-31T00:00:00Z,7.13699625332072,10631165433.28,281.68
221,MKTX.OQ,2022-06-30T00:00:00Z,-11.0736739730373,9662328395.96,256.01
222,MKTX.OQ,2022-07-29T00:00:00Z,5.76930588710678,10192161366.24,270.78
223,MKTX.OQ,2022-08-31T00:00:00Z,-7.95839870618744,9356929588.72,248.59
224,MKTX.OQ,2022-09-30T00:00:00Z,-8.81557377334255,8374525379.92,222.49
225,MKTX.OQ,2022-10-31T00:00:00Z,9.68582857805305,9184890284.92,244.04
226,MKTX.OQ,2022-11-30T00:00:00Z,9.86879718907512,10083657618.16,267.92
227,MKTX.OQ,2022-12-30T00:00:00Z,4.09450582287325,10496533566.47,278.89
228,MKTX.OQ,2023-01-31T00:00:00Z,30.4636236530979,13694158048.55,363.85
